ddate,crime_group,count,domestic_count,arrest_count,domestic_rate,arrest_rate,avg_dist,avg_max_dist,avg_cm_area,avg_total_area,avg_cm_len,total_cm_len,avg_pct_housing,avg_pct_below_pvty,avg_pct_unemployed,avg_pct_without_hsd,avg_pct_dependents,avg_per_capita_income,avg_hardship_index
2022-01-01,ASLT,263,116,57,0.44106463878326996,0.21673003802281368,2.2147196427396083,26.049704166460923,92.4690854362286,738.6626943395628,45.62004057849401,377.23571195026847,0.056851711026615966,0.2540380228136882,0.1788783269961977,0.21876806083650188,0.35547148288973385,24402.053231939164,57.26235741444867
2022-01-01,THFT,143,12,9,0.08391608391608392,0.06293706293706294,2.061606537148446,25.451130516304406,91.27231404238167,755.7714198624692,45.79282850016729,388.5458274440497,0.041650349650349645,0.22396503496503498,0.14665034965034965,0.16993006993006993,0.3161118881118881,36319.0979020979,42.85314685314685
2022-01-02,ASLT,177,65,27,0.3672316384180791,0.15254237288135594,2.274762660669759,26.771034959867553,91.8472748789294,790.098470685018,45.30028832750564,396.6848176221356,0.05699435028248586,0.25272316384180793,0.17289830508474574,0.21379661016949153,0.35389265536723163,24898.13559322034,56.43502824858757
2022-01-02,THFT,161,6,8,0.037267080745341616,0.049689440993788817,2.339851632275715,26.221450032462254,86.98904164602395,711.0929939015789,45.07380741519217,372.1865065211292,0.04018012422360248,0.20535403726708074,0.1369503105590062,0.15085714285714286,0.30682608695652175,36713.27950310559,37.161490683229815
2022-01-03,ASLT,156,56,28,0.358974358974359,0.1794871794871795,2.3326418279272794,26.988741048275134,91.78059850794722,781.2850140772814,45.29663455318751,393.84731365574106,0.05379487179487178,0.2627820512820513,0.1806153846153846,0.20921794871794872,0.3621858974358974,23182.25,57.205128205128204
2022-01-03,THFT,156,9,13,0.057692307692307696,0.08333333333333333,2.522677191764862,26.11491509610655,90.05347377523948,734.1624627311103,45.703680394544655,379.567557728548,0.048910256410256404,0.22078205128205128,0.14358974358974358,0.18644230769230768,0.31851282051282054,32222.891025641027,44.61538461538461
2022-01-04,ASLT,177,59,31,0.3333333333333333,0.1751412429378531,2.5768100711091977,26.945835049628073,91.5181990309281,823.5315403408288,45.12870104432975,412.4576194533808,0.05325988700564971,0.2580056497175141,0.17913559322033898,0.21275706214689266,0.3624915254237288,23094.84745762712,57.13559322033898
2022-01-04,THFT,196,9,11,0.04591836734693878,0.05612244897959184,2.2954591497659553,26.728910727417844,84.51807288328199,737.2023830532514,44.410165095310056,389.9190663586265,0.04203061224489795,0.21201020408163265,0.13904081632653062,0.1627142857142857,0.3124438775510204,34486.38775510204,39.87244897959184
2022-01-05,ASLT,139,58,28,0.4172661870503597,0.2014388489208633,2.2363208120628033,26.961319668802005,90.48555983305776,735.1625998052914,45.2231782916918,374.70318115358054,0.051143884892086315,0.2556330935251799,0.17875539568345322,0.20671942446043165,0.3531438848920863,23281.877697841726,55.37410071942446
2022-01-05,THFT,159,5,10,0.031446540880503145,0.06289308176100629,2.486042109528596,26.992777926754393,89.99090092727675,768.8925915845837,45.30999759057871,395.01662483033584,0.04855345911949685,0.22378616352201258,0.15079874213836475,0.18544025157232705,0.34265408805031444,28794.427672955975,47.062893081761004
2022-01-06,ASLT,169,62,29,0.3668639053254438,0.17159763313609466,2.366125913292921,27.356888262155806,92.00877707724861,810.1001236984338,45.26521461570204,403.91988210345266,0.04892899408284022,0.2621715976331361,0.18994674556213018,0.20703550295857986,0.36920710059171596,23252.69230769231,58.55029585798817
2022-01-06,THFT,185,3,4,0.016216216216216217,0.021621621621621623,2.272821257651284,26.73742497876593,88.675425853279,732.9633177663892,45.94784987392942,388.30445289342646,0.039718918918918905,0.20208648648648647,0.13149729729729728,0.15183783783783783,0.3043837837837838,36267.91891891892,36.27567567567568
2022-01-07,ASLT,193,74,39,0.38341968911917096,0.20207253886010362,2.2995194626461273,26.284961597727147,90.8952811206992,775.8770979047118,45.02130702378481,391.3706953871109,0.05218134715025906,0.25542487046632123,0.1757720207253886,0.21062694300518134,0.3606010362694301,23493.19170984456,56.55958549222798
2022-01-07,THFT,168,3,12,0.017857142857142856,0.07142857142857142,2.1792654885213865,26.27340416069261,90.95415247417412,709.1322509576696,46.26319691066781,370.08098318154583,0.04180357142857142,0.22038690476190476,0.1441488095238095,0.16651190476190475,0.32164880952380953,33396.39880952381,42.11904761904762
2022-01-08,ASLT,160,51,30,0.31875,0.1875,2.1548134923289304,26.18708980149761,91.89664861100579,747.4222184320231,45.35026362981169,376.0714807481175,0.05202499999999999,0.25544374999999997,0.17391874999999998,0.20993124999999999,0.35024375,25506.1875,55.2625
2022-01-08,THFT,159,6,9,0.03773584905660377,0.05660377358490566,2.3160365158521787,26.11226510192787,87.57427298986676,715.2148054453295,45.46637678517197,378.1077668052522,0.04500628930817609,0.21200628930817608,0.13789937106918237,0.16941509433962262,0.3113459119496855,35615.1320754717,40.17610062893082
2022-01-09,ASLT,162,73,29,0.4506172839506173,0.17901234567901234,2.2770123655171206,26.877861262761783,98.40200808341436,793.7039222587587,47.45137910725666,397.09312371963335,0.0603827160493827,0.24877777777777776,0.1728395061728395,0.23027777777777778,0.35437037037037034,23851.882716049382,57.851851851851855
2022-01-09,THFT,149,8,9,0.053691275167785234,0.06040268456375839,2.3191422710788854,26.31631095243939,92.37594739451089,746.0991854619725,46.340595027015006,383.3076915772953,0.04736912751677852,0.21967785234899329,0.13903355704697984,0.1783020134228188,0.3176040268456376,33616.18120805369,42.369127516778526
2022-01-10,ASLT,161,67,17,0.4161490683229814,0.10559006211180125,2.3247547092462306,26.681665848034754,94.42530102063601,787.1363832673055,46.16481230004711,399.7379696261404,0.05078881987577638,0.26462111801242233,0.18956521739130433,0.20503726708074532,0.36363354037267076,23421.54658385093,58.09316770186335
2022-01-10,THFT,163,5,15,0.03067484662576687,0.09202453987730061,2.470886116664349,26.51910336674847,85.17344145540537,735.1370419756669,44.314234435044625,388.0796711015479,0.04742331288343557,0.2301717791411043,0.15061963190184047,0.1867239263803681,0.33426993865030674,29385.349693251534,46.59509202453988
2022-01-11,ASLT,168,60,28,0.35714285714285715,0.16666666666666666,2.24000314109578,26.733031994475716,94.93684047800701,782.1166419745971,46.146881825570276,388.57076407318453,0.05488690476190474,0.26313690476190477,0.17869642857142856,0.21512499999999998,0.36497619047619045,22220.511904761905,58.595238095238095
2022-01-11,THFT,157,3,7,0.01910828025477707,0.044585987261146494,2.3753220934306016,26.633039990278,87.68733756612438,752.5254649852338,45.17644881670588,388.4568038201777,0.04294267515923566,0.22180254777070063,0.14872611464968152,0.16752229299363056,0.31735031847133754,33406.8025477707,42.35668789808917
2022-01-12,ASLT,187,51,29,0.2727272727272727,0.15508021390374332,2.162057577280047,26.58453408989224,94.92111475990026,777.2309713366567,46.245556662780274,390.0776320936337,0.05589839572192511,0.26992513368983956,0.18824064171122995,0.21646524064171122,0.361668449197861,22354.401069518717,59.973262032085564
2022-01-12,THFT,217,8,14,0.03686635944700461,0.06451612903225806,2.140444090038034,26.41824336625987,85.16076591317642,728.6424423863981,44.1971423428443,379.6879192532548,0.04579262672811059,0.22376958525345622,0.14625345622119815,0.17575576036866358,0.32032718894009216,31979.534562211982,43.20276497695853
2022-01-13,ASLT,222,77,31,0.34684684684684686,0.13963963963963963,2.161370423806234,26.521590756314556,92.77813060073511,751.68335731255,45.648858264289956,378.69020986487294,0.05577477477477476,0.26639639639639634,0.1813918918918919,0.21813063063063062,0.3614864864864865,23322.315315315314,59.27477477477478
2022-01-13,THFT,231,5,19,0.021645021645021644,0.08225108225108226,2.5451339195216027,26.929226565928012,88.61366393741531,773.0563992825507,45.63313841477675,403.3874744491364,0.04493073593073591,0.21884848484848482,0.1461818181818182,0.1737835497835498,0.324030303030303,31589.805194805194,43.311688311688314
2022-01-14,ASLT,236,83,46,0.3516949152542373,0.19491525423728814,2.1657799714609367,26.37176338840668,96.65215065702219,765.8189289742677,46.639364451408476,380.9956137334771,0.0525550847457627,0.26052542372881354,0.17918644067796607,0.21013983050847457,0.35719067796610166,24649.851694915254,57.313559322033896
2022-01-14,THFT,211,8,11,0.037914691943127965,0.052132701421800945,2.068010474105609,26.538013760887218,84.91141874918739,749.1871934172644,44.528610572987006,394.4984543824365,0.0432559241706161,0.21945971563981043,0.1446208530805687,0.17100947867298577,0.3187962085308057,33461.72037914692,42.41232227488152
2022-01-15,ASLT,243,80,49,0.3292181069958848,0.20164609053497942,2.2181098765648044,26.3630508385121,94.23526283192776,725.5430002099597,46.41361504357915,367.84894620086135,0.052600823045267475,0.2459753086419753,0.17048559670781893,0.2033292181069959,0.3473662551440329,26019.921810699587,53.440329218106996
2022-01-15,THFT,209,4,15,0.019138755980861243,0.07177033492822966,2.3493024460206375,26.861676725900157,87.25329833862321,734.4663034023685,44.7745067050087,383.1755719883651,0.051832535885167445,0.21633492822966507,0.1446650717703349,0.1918181818181818,0.32514354066985646,30571.325358851675,45.02870813397129
