district,date,THFT_RollAvg7,THFT_RollDRate7,THFT_RollARate7,THFT_RollAvgDist7,THFT_RollAvgMaxDist7,THFT_RollAvgCMLen7,THFT_RollAvgLen7,THFT_RollAvgHardship7,THFT_RollAvgCountCMArea7,THFT_RollAvgDRateCMArea7,THFT_RollAvgARateCMArea7,THFT_RollAvgDensity7
1,2022-01-07,19.857142857142858,0.014896867838044309,0.08489576603891294,1.9033880882190508,20.461787027053543,42.9976602922,300.9836220454,7.488757885599381,0.2856584409096294,0.0002143015272472502,0.001221283058744833,0.04080834870137563
1,2022-01-08,19.428571428571427,0.014896867838044309,0.0866964863270282,1.8009406202864773,20.32748964802036,42.9976602922,300.9836220454,7.659226072874291,0.27949315081805465,0.0002143015272472502,0.0012471876389615335,0.03992759297400782
1,2022-01-09,17.428571428571427,0.014896867838044309,0.09502981966036153,1.8543546220730553,20.408324973513945,42.9976602922,300.9836220454,7.483035596683814,0.2507217970573726,0.0002143015272472502,0.001367068279631042,0.035817399579624654
1,2022-01-10,15.571428571428571,0.008403361344537815,0.09142231605285793,1.8584203339380365,20.37790815288576,42.9976602922,300.9836220454,7.4079995216477394,0.22400553999388206,0.00012088804101126933,0.0013151718983888307,0.03200079142769744
1,2022-01-11,14.714285714285714,0.008403361344537815,0.07664399092970522,1.88767031174654,20.42431428005195,42.9976602922,300.9836220454,7.1501284571799735,0.2116749598107326,0.00012088804101126933,0.0011025756883345295,0.0302392799729618
1,2022-01-12,16.428571428571427,0.01520608243297319,0.08117913832199546,1.8921636198134772,20.40503307063991,42.9976602922,300.9836220454,7.578699885751402,0.23633612017703154,0.00021874978849658258,0.0011678168533247383,0.03376230288243308
1,2022-01-13,17.714285714285715,0.006802721088435374,0.08117913832199546,1.9244708352862692,20.438221377314097,42.9976602922,300.9836220454,7.824336601976354,0.2548319904517557,9.786174748531325e-05,0.0011678168533247383,0.03640457006453653
1,2022-01-14,18.285714285714285,0.006802721088435374,0.06648526077097505,1.9010722389086527,20.473409449441995,42.9976602922,300.9836220454,7.206105309459346,0.26305237724052205,9.786174748531325e-05,0.0009564354787564616,0.03757891103436029
1,2022-01-15,18.285714285714285,0.006802721088435374,0.06648526077097507,1.895464232581876,20.467857689415098,42.9976602922,300.9836220454,7.808146125785877,0.26305237724052205,9.786174748531325e-05,0.0009564354787564617,0.03757891103436029
1,2022-01-16,19.857142857142858,0.006802721088435374,0.06580498866213151,1.8746679360500142,20.437613456853533,42.9976602922,300.9836220454,7.933316193813087,0.2856584409096294,9.786174748531325e-05,0.0009466493040079302,0.04080834870137563
