district,area_count,avg_cm_area,avg_cm_len,total_cm_area,total_cm_len,avg_housing_crowded,avg_below_pvty,avg_unemployed,avg_without_hsd,avg_dependents,avg_per_capita_income,avg_hardship_index
1,7,69.51358690438572,42.9976602922,486.5951083307,300.9836220454,0.036571428571428574,0.225,0.11285714285714285,0.16014285714285714,0.25957142857142856,44906.28571428572,33.0
10,6,129.11231532315,54.40056556736667,774.6738919388999,326.4033934042,0.07483333333333332,0.26266666666666666,0.16233333333333333,0.294,0.3455,20979.833333333332,63.166666666666664
11,7,109.32199182364286,47.81849692594285,765.2539427655,334.7294784816,0.07457142857142855,0.32142857142857145,0.17685714285714285,0.22242857142857142,0.35614285714285715,21936.285714285714,63.57142857142857
12,10,78.08090083945001,43.799069484440004,780.8090083945001,437.9906948444,0.053599999999999995,0.23779999999999996,0.11799999999999997,0.1896,0.2852,38318.7,40.5
14,7,86.49120108108572,46.48934295075714,605.4384075676,325.4254006553,0.041857142857142864,0.16199999999999998,0.0837142857142857,0.14057142857142857,0.26742857142857146,46609.857142857145,24.142857142857142
15,1,199.254203427,75.2264749167,199.254203427,75.2264749167,0.063,0.286,0.226,0.244,0.379,15957.0,73.0
16,12,103.611609038425,57.9362290029,1243.3393084611,695.2347480348,0.05016666666666666,0.11824999999999998,0.10225000000000001,0.17841666666666664,0.35600000000000004,27901.5,32.666666666666664
17,11,76.05427007808181,42.43711576781818,836.5969708589,466.808273446,0.05627272727272726,0.14063636363636364,0.09854545454545453,0.21472727272727268,0.3381818181818182,28356.727272727272,38.0
18,6,99.57346662586667,50.6034998507,597.4407997552,303.6209991042,0.022500000000000003,0.15333333333333332,0.07216666666666666,0.0775,0.21283333333333335,57590.166666666664,9.0
19,9,74.17056820745556,43.14868752423334,667.5351138671,388.3381877181,0.04022222222222222,0.145,0.0772222222222222,0.1452222222222222,0.25911111111111107,40284.666666666664,22.444444444444443
2,10,41.91124924992,30.657808214649997,419.11249249919996,306.5780821465,0.03149999999999998,0.34940000000000004,0.2259,0.19569999999999999,0.37679999999999997,21240.7,64.1
20,6,67.859665654,39.757313856033335,407.157993924,238.5438831362,0.05716666666666665,0.17116666666666666,0.09166666666666666,0.17166666666666663,0.3016666666666667,29605.833333333332,31.333333333333332
22,8,101.26016789465,48.7635184928625,810.0813431572,390.1081479429,0.022,0.15287499999999998,0.16524999999999998,0.13262499999999997,0.402875,24286.0,41.375
24,5,67.95600456532,37.256893943659996,339.7800228266,186.2844697183,0.05379999999999998,0.1662,0.08959999999999999,0.15299999999999997,0.30860000000000004,28892.8,30.8
25,10,92.77635904536,45.034033012600005,927.7635904535999,450.340330126,0.07169999999999999,0.18439999999999998,0.1314,0.2596,0.3446,21211.6,51.1
3,6,68.60210805951667,41.01180070778333,411.6126483571,246.0708042467,0.033666666666666616,0.3308333333333333,0.21899999999999997,0.17533333333333334,0.3738333333333333,20014.0,62.5
31,8,127.85045258676668,68.78937336216667,1150.6540732809,619.1043602595,0.024777777777777767,0.08744444444444444,0.10200000000000001,0.11288888888888889,0.36666666666666664,30111.11111111111,23.555555555555557
4,12,95.610773680225,46.70133255513333,1147.3292841626999,560.4159906616,0.03841666666666665,0.26966666666666667,0.20149999999999998,0.18766666666666668,0.41616666666666663,18437.833333333332,61.333333333333336
5,9,114.37131508609998,49.947040500566665,1029.3418357749,449.5233645051,0.032333333333333325,0.25911111111111107,0.1971111111111111,0.18,0.4237777777777778,17782.222222222223,58.77777777777778
6,12,85.97415040102499,42.850457571525,1031.6898048122998,514.2054908583,0.03249999999999998,0.24958333333333335,0.21641666666666667,0.1668333333333333,0.40441666666666665,19327.75,58.916666666666664
7,7,96.07760496828571,44.44293571435714,672.5432347779999,311.1005500005,0.062285714285714285,0.28557142857142853,0.2317142857142857,0.27171428571428574,0.4034285714285714,14986.0,76.14285714285714
8,12,87.65947515053334,42.172291318858335,1051.9137018064,506.0674958263,0.08041666666666665,0.20024999999999996,0.17041666666666666,0.32475,0.3868333333333333,16623.416666666668,67.16666666666667
9,15,74.03727593268667,37.9739152689,1110.5591389903,569.6087290335,0.07433333333333333,0.2803333333333333,0.1857333333333333,0.31453333333333333,0.35373333333333334,19866.333333333332,69.46666666666667
